"","pseudonym","cowGuess1KG","cowProx","oculusGuess","bigBenGuess","seenBen","GangnamRating","peanutGuess","appleGuess","guessConf","order","background","iteration"
"1","Warwick1",158.72,"",70,100,"Yes","4- I like it, in the right context.",55,5,"1-particularlyBad","BigBenFirst","UK","F"
"2","Sally",250,"4:6mths",60,300,"Yes","4- I like it, in the right context.",54,450,"1-particularlyBad","OculusFirst","UK","F"
"3","ezaia",150,"2:2+Years",10,18,"Yes","4- I like it, in the right context.",73,16,"2-notVeryConfident","OculusFirst","Non-UK","F"
"4","Warwick4",181.4,"",120,120,"Yes","5- IT'S TOTALLY AWESOME.",75,900,"1-particularlyBad","BigBenFirst","UK","F"
"5","MG",172.33,"",500,2000,"Yes","4- I like it, in the right context.",60,500,"1-particularlyBad","OculusFirst","UK","F"
"6","Warwick6",210,"3:<2yrs",30,200,"Yes","4- I like it, in the right context.",124,1348,"3-average","OculusFirst","UK","F"
"7","Warwick7",226.75,"",25,75,"Yes","2- It's bearable, but not exactly enjoyable.",100,750,"2-notVeryConfident","OculusFirst","UK","F"
"8","Warwick8",250,"4:6mths",20,55,"Yes","2- It's bearable, but not exactly enjoyable.",84,2400,"4-good","OculusFirst","UK","F"
"9","Carat",120,"3:<2yrs",300,400,"Yes","4- I like it, in the right context.",41,1400,"2-notVeryConfident","BigBenFirst","UK","F"
"10","eyelashes ",168,"2:2+Years",80,200,"I don't remember","4- I like it, in the right context.",163,900,"1-particularlyBad","OculusFirst","Non-UK","F"
"11","raor",800,"4:6mths",200,300,"Yes","3-It's very average",40,300,"2-notVeryConfident","BigBenFirst","Non-UK","F"
"12","pseudonym",204.08,"",40,100,"Yes","2- It's bearable, but not exactly enjoyable.",70,1000,"2-notVeryConfident","BigBenFirst","UK","F"
"13","Warwick13",907,"",30,80,"Yes","3-It's very average",60,400,"2-notVeryConfident","BigBenFirst","UK","F"
"14","Blueberry",500,"4:6mths",65,120,"Yes","2- It's bearable, but not exactly enjoyable.",16712,900,"3-average","BigBenFirst","UK","F"
"15","Mandy",160,"2:2+Years",18,60,"Yes","4- I like it, in the right context.",100,150,"2-notVeryConfident","BigBenFirst","UK","F"
"16","wxd",150,"2:2+Years",14,400,"Yes","2- It's bearable, but not exactly enjoyable.",50,600,"2-notVeryConfident","BigBenFirst","Non-UK","F"
"17","Kasbah",249.43,"",50,180,"Yes","2- It's bearable, but not exactly enjoyable.",108,1200,"1-particularlyBad","OculusFirst","UK","F"
"18","Warwick18",226.75,"",20,70,"Yes","2- It's bearable, but not exactly enjoyable.",60,900,"1-particularlyBad","BigBenFirst","UK","F"
"19","Warwick19",226.75,"",22,100,"Yes","2- It's bearable, but not exactly enjoyable.",87,1100,"2-notVeryConfident","OculusFirst","UK","F"
"20","Eep",158.72,"",35,90,"I don't remember","4- I like it, in the right context.",60,90,"3-average","BigBenFirst","UK","F"
"21","Lance",250,"5:current",30,100,"Yes","5- IT'S TOTALLY AWESOME.",101,100,"1-particularlyBad","BigBenFirst","UK","F"
"22","Robin",150,"2:2+Years",20,18,"Yes","5- IT'S TOTALLY AWESOME.",80,20,"2-notVeryConfident","OculusFirst","Non-UK","F"
"23","WarwickE1",300,"3:<2yrs",50,400,"I don't remember","2- It's bearable, but not exactly enjoyable.",200,1500,"2-notVeryConfident","OculusFirst","UK","E"
"24","WarwickE2",150,"4:6mths",40,80,"Yes","4- I like it, in the right context.",40,25,"3-average","OculusFirst","UK","E"
"25","WarwickE3",381,"3:<2yrs",55,92,"Yes","2- It's bearable, but not exactly enjoyable.",100,600,"2-notVeryConfident","BigBenFirst","Non-UK","E"
"26","WarwickE4",300,"3:<2yrs",15,50,"Yes","4- I like it, in the right context.",120,250,"2-notVeryConfident","OculusFirst","Non-UK","E"
"27","WarwickE5",500,"4:6mths",20,50,"No","5- IT'S TOTALLY AWESOME.",48,390,"2-notVeryConfident","BigBenFirst","UK","E"
